drop like flies
veg out
put on the map
foul
malarky
take the plunge
jihad
hanging
woody
reel in
talk to the hand
frou-frou
baby batter
puppy love
scutter
caned
crown jewels
secret sauce
deli
jeepers creepers
on the hook
donger
figs
have an axe to grind
stab in the back
acid house
on deck
crack baby
crotch
eye-popping
birthday suit
geek chic
e-
pig-fucker
photo finish
pizzle
face man
convo
bacon
scraper
tires
rusty
double jack
melvin
feck
shmoe
fly a kite
boogie
fud
schpeel
dangler
fossil
groupie
spark up
barge in
widget
widger
root for
dog-ear
herb
ching
chassis
china
kick around
hers
chino
feel up
dork
argh
under the weather
sloshed
pop the question
k
lmk
raw dog
french fry
golden
hw
trollied
stern
txt
unit
dnd
floosie
ht
smurf turf
cruft
butterface
strike
xtc
son of a bitch
blabbermouth
sortie
yahoo
scuzzy
hurt
glass
dead air
hurl
on the fritz
hole
hold
on the qt
shirt lifter
gear up
get a rise out of
zomg
brain dump
knee pit
hit it up
wana
foodie
wang
pooped
wank
bit rot
want
bizzo
pinto
cocksucker
hog
hod
hoe
hob
hon
auger
walled garden
machine
on the ropes
hot
hop
bunny hug
cabbie
beauty
go nuts
main man
skin flute
chump
snot rag
back end
siberia
on the level
nympho
alias
wino
murse
do one
vart
bug-eyed
spend a penny
handcuff
wonderwoman
webisode
get lost
get away with murder
kiss of death
fit
screaming
fix
get it on
fib
fig
chickenhawk
fin
sucker-punch
vouchers
helly
preemie
beaut
you're on
out of the loop
suicide lane
cotton on
get the better of
niggerfaggot
two-bit
debug
volcano
dumpy
gumshoe
no dice
bucket list
white trash
blinder
pissy
scheisse
whiz
pissa
fortnight
hit the bricks
greased lightning
ma bell
rt
rv
rp
see ya
blow this popsicle stand
whoosh
cooter
l33t
noice
zap
stuck on
rl
bogosity
mother of god
frenchie
big bucks
get laid
grapes
new kid on the block
horked
go all the way
suck it
baloney pony
atl
atm
lit up
redonkulous
l337
take out
bimble
tickle the ivories
minge
curiouser
wasp
goggle
veggie
wash
diploma mill
mingy
service
whorehouse
youse
rock 'n' roll
pillow case
stack
critter
loony bin
freebie
cushiony
thick as thieves
splendiferous
snooty
whiskey dick
shitass
nws
crawl
double dip
show off
biffy
brain-damaged
tree
second
zounds
tres
also-ran
fixie
scalper
runner
ka-ching
number two
bogan
corny
liquid laugh
beat a dead horse
pull out
golden shower
okie
cut and dried
greenback
by the book
9 to 5
debbie downer
butterhead
go great guns
ride shotgun
swiss
gallagher
gym candy
dummy
qual
go number one
camp
on the take
tech
howl
p'd off
worry wart
bomb
take it easy
droppings
twee
christmas creep
sound as a pound
hunky-dory
hurt locker
pomo
you go, girl
hambeast
paper trail
bust
busk
bush
home run
rice
flip the bird
mogo
get with
jeet
cutie pie
cushion
fooey
helicopter parent
greens
player hater
cover charge
you-know-what
clear as a bell
flutter
ruby murray
yippie
goomba
down in the dumps
hammed
bleg
imho
fail
hammer
bleh
kludge
ball bag
score
irl
pirate
debo
screwball
in a nutshell
ante up
faboo
garfunkel
wtg
sancho
cockamamy
accident
veep
hold down
twitard
lookie
schmooze
bunkie
flub
shlock
diff
blonde
jack shit
damn straight
sponged
chucker
101
old chap
chrome
quids in
fro
fecking
fry
jackass
spiv
spit
joust
lift
toboggan
worked
spin
cunt
chill
roflmao
kick to the curb
brainstorm
this here
kife
doormat
balls of steel
expat
soul-sucking
ding-dong ditch
player
behind closed doors
prehab
water under the bridge
skosh
credit
yellow
toaster
crabbit
doofus
down below
split
carpet muncher
paedo
rebound
plonker
goyim
stiffy
tuna
fist bump
haggard
off-the-shelf
cannibalize
man bag
go ballistic
corporate
gigolo
booyah
capitol
peeping tom
skinship
tea bag
jumpers
hah
ham
duffer
equipment
throw under the bus
tronk
stubbies
hax
scrape together
haz
bread box
easy
wake up and smell the coffee
lose touch
kind bud
gridlock
poser
power nap
bobby
hooey
steps
cheesiness
bonkers
call it a day
creel
right
old
coinkydink
klepto
crown
feel
biff
doubting thomas
east jesus
oly
tied up
flunkie
vato
creep
fot
fop
fos
fox
gooch
plucked
sotu
fob
pip pip
umm
foo
come unhinged
pinched
knobhead
po
scape
lefty
binder
jill off
borked
laughing gas
o
toss salad
stoked
shitter
in the cards
gauze
sod
neocon
honeymoon
brutes
son
do-rag
tarnation
sos
daffy
sot
sow
wrap
soz
little spoon
mullah
frazzled
altitude
toke up
halla
cue ball
hothead
cop out
jank
spring
bollocks
journo
pain in the arse
embiggen
back
squatchy
inside
smack dab
smasher
tell
go halfsies
smashed
brownie point
like a bat out of hell
boobage
bangable
my ass
flotsam and jetsam
fanzine
candle
rollin'
frapping
dealer
mansonite
leet
bawbag
floor
number cruncher
chop up
minefield
lylab
give a shit
smell
roll
jerk-ass
geezer
dig in
snowpocalypse
snooze
jewelry
tims
puss
fuzzily
pissing contest
chemo
kiddie fiddler
beamer
mother fucker
peacock
newbie
chain
screw up
main drag
bostin
skate
spide
muppet
grifter
page out
vet
baller
go poof
pavement pizza
crater
veg
lardo
poor sport
nugs
macho
yers
pencil in
jerk
cut it
two-way
choice
crack the whip
southpaw
w00t
minute
moola
up the wazoo
epic
kraut
tear
ollie
homebody
grote
joyride
bellyflop
head case
champagne problem
pec
droid
two-faced
catatonic
anaconda
inside job
crackpot
melt
have it
freaked out
mell
bm
poindexter
freaky
performant
derp
blunted
elbow grease
hot potato
yetti
dusty
get bent
queue
g2g
jammie
yiff
joe schmoe
love
r and r
eager beaver
barking spider
electric soup
go to the dogs
crowdsourcing
charlies
bender
scope
nut up
wicked
skud
gadgie
donorcycle
haxor
spaced out
disaster area
pooper
fuck-tard
lumberjack
tough titty
five thousand
esky
chompers
chew the fat
el cheapo
awesome
throw in the towel
tapped out
locks
fappable
stolo
stole
buttered
acid rock
dyke
pebkac
cut off
snaps
laundry
bed head
slush
spot
stroppy
banhammer
pro-ana
rat out
date
suck
dove
pogo
cockamamie
stress
mangy
bareback
hop to it
bros before hoes
so
sn
haterade
bum bag
sb
acey-deucey
fatosphere
mouse over
drama queen
ring a bell
get busy
hack it
banged up
go down
jib
slimeball
tuli
follicly challenged
jim
jit
thump
troubled
jiz
dead weight
crappiness
apron
happy bunny
dingleberry
sorted
in-laws
shwasted
chappie
camwhore
no-name
goner
eat out
brody
on the hop
john thomas
yayness
quarter
kram
square
do what?
no homo
poopie
bum chum
toodle-oo
troll
joker
workaholic
goober
jippo
bad beat
coby
hang around
stick in the mud
underwhelm
hunker down
disrespect
bumps
sarky
mime
grandma
newsie
scarred
yard sale
spare tire
dunno
spam
gaff
give the elbow
chevy
tanstaafl
punt
massive
road rage
bbd
hooch
eat my shorts
puny
dunny
tooter
desk jockey
tongue in cheek
one
spanish
ego trip
chubby
open
city
mr. right
bite
cutting edge
shit disturber
fml
twenties
directioner
stuffed
thick-headed
white elephant
slasher
starfish
boomtown
snatch
ridiculous
script kiddie
rent-a-cop
boyfriend
cock of the walk
dickhead
scrumptious
rehab
doctored
damned
rocket science
whup
sam
sal
buy the farm
pie hole
sad
hot under the collar
sap
bushism
babysit
fucked up
hate on
zoo
note
omfg
take
go to town
chick flick
take one for the team
streetwise
jenkem
lawl
get a word in edgeways
blockhead
drive
whirlybird
axe
salt
sasser
mince
friction
peaches
bright
wail on
sum up
bollocking
slow
slop
gourd
boy toy
wut
see red
slog
hockey
slob
dece
neato
chinwag
nonce
young blood
roadie
touch
suitcases
knock up
hooped
macgyver
mondo
obeast
yammer
prime
pimp
artist
primo
borrow
roger
throw down
hotness
xmas
pound the pavement
swack
shawol
up
party hats
gangster
anyways
half-ass
rub up against
postdoc
rager
for pete's sake
cuckoo for cocoa puffs
carbon copy
diddle
bootleg
poopy
circle the wagons
put out
take a dump
weekend warrior
get up on the wrong side of the bed
owie
kiss ass
diddly
hog-wild
mope
sacred cow
grease monkey
wuss
dropkick
mondo bizarro
vertical
raise the bar
chip in
dome
do a number on
footie
knackers
spark
lollapalooza
quack
cheesed off
bee sting
flipped
madcap
brute force
manc
mang
mani
mank
go dutch
clam chowder
lez out
krunk
pregos
cock snot
coker
boat
wuffo
stretch
west
gin up
gin mill
ride out
give head
dry heave
photog
d'oh
kiss principle
all fingers and thumbs
jute
idiot-proof
ate up
shanty
bad-ass
butchers
press the flesh
kablam
pump and dump
lettuce
zonked
pinko
hockey puck
blah
breed like rabbits
blab
wingnut
blag
spunk
daddio
off the chain
manscape
give it a whirl
thundercunt
edged
cheeseball
fun bags
rotflmao
cheers
wired
ship out
booster
five-finger discount
staycation
driftwood
afaics
afaict
clobber
rip off
grumpy
hubby
steamed
benzo
poach
cream puff
steamer
vamp
drink like a fish
parlay
drop the gloves
hit the hay
color
tuff
on the table
tool around
snart
dart
dark
buh-bye
japanophile
snarl
snark
darn
snarf
testilying
postal
queue up
clam
hit the head
intel
liked to
whatshername
tweeker
pole
gimme
hooptie
wastoid
get the memo
clap
thinko
fives
fiver
pickled
humdinger
sit on the fence
pipe down
pickles
goosed
noob
have the painters in
nook
exit
blue falcon
squabble
glory hole
power
sprung
hayseed
throwback
school of hard knocks
stone
y2k
ace
package
ack
have a good one
dibs
lyte
take the heat
neighbor
act
starry-eyed
old bill
tatties
bjj
moped
bubbly
hep
gunna
hea
hen
bubble
lecky
narsty
-oholic
take off
spider
mick
cloner
skeg
yayo
bundy
swoll
pull
rush
lana
rage
swole
party hat
brain-dead
hooah
rags
dawg
assy
dirty
trips
horch
aa
gone
ac
ab
in the zone
ag
migrate
terribad
an
ap
aw
go together
lairy
peel out
cream
fan fiction
cooked
tight
dig out
whip
phenom
prereq
slant
fsck
christ on a bike
empty-nester
at the drop of a hat
slang
along for the ride
work up
natalie
no joy
throw the book at
whaddya
preppy
whovian
chow down
disco biscuit
clam bake
jaja
retch
trailer park trash
slimebag
eye candy
head shop
smo
social engineering
pitch in
bismarck
tw
ts
tp
top dog
piddling
tail
postcardware
tj
tk
tf
ta
arseholed
eyrie
witch doctor
sheisty
floater
sme
smd
hooking
vidiot
pbs
shenanigans
heist
low-rent
large
boozer
sand
facsimile
rj
gacked
sano
grundies
pigskin
ermahgerd
abandonware
fo' shizzle
big spoon
newfag
pash
sync
and change
copyvio
psychonaut
fast food
a-lister
hick
otoh
neddy
anywho
clock
screwed up
pull an all-nighter
montezuma's revenge
afformation
out of thin air
dead end
headlamps
nurse
spazzy
out of hand
full
hash
fuck ton
artistic license
frugalista
aberzombie
have the world by the balls
razz
burnie
catch some z's
off the record
basket case
brutal
donkey punch
prior
skyrocket
donut hole
sweetness
vic
vig
adidas
vio
vip
gosh
select
cost an arm and a leg
self-love
jughead
be-in
sorostitute
pearl
sitter
6
doot
teef
ciggy
chucks
aunt flo
dood
caca
hundo
coyote
dirty look
uncool
dook
cack
fleece
unders
suss
knocker
bootilicious
learn
wuu2
seagull
