drop like flies
other woman, the
titty    
yellow
wailing
finesser
ott    
hanging
woody
reel in
posted up    
weasel word    
talk to the hand
pop bottles
slammer, the
choke the goose
scutter
caned
ootb    
rap sheet    
throw it up
knocked off
deli
jeepers creepers
on the hook
donger
gmilf
foul
potty    
cameltosis
sunday face
stab in the back
stoned    
acid house
bizatch    
ring a bell    
gush
on deck
under (one's) belt
crack baby
jihad
crotch
eye-popping
manorexia
geek chic
photo finish
pizzle
maneuver
soggy muffin
bilk
bacon
scraper
rusty
double jack
ride the cotton pony
melvin
feck
shmoe
boogin
amf    
kiss (one's) ass
boogie
schpeel
shnockered    
mogo
gowed up
rough around the edges    
early bird    
put on airs    
root for
dog-ear
herb
herf
ching
tmk    
china
kick around
bog    
chino
sperm bank
feel up
dingbat    
wake and bake    
quart
herking
bar steward
under the weather
k
shovelware    
baby's momma
gorilla arm
take the piss    
raw dog
get brain
old fart    
myspace    
angry dragon    
wuppie
trollied
fag hag    
tick    
stern
gr8    
unit
dnd
floosie
numpty    
smurf turf
hoopty    
cruft
butterface
on blocks
zinger    
strike
xtc
bang    
brassed off
blabbermouth
liquid sunshine
scuzzy
hurt
glass
pissing contest
hoss up
jmo
hole
give up the ghost    
on the qt
shirt lifter
spike up
gear up
foaf    
ginormous    
netherlands, the
bobo    
alrighty    
grimey
zomg
bum fucked egypt
hang 10
knee pit
mack it
take a deuce    
wana
foodie
pooped
durb
bum chin
bit rot
pebkac    
want
bizzo
shitty    
pinto
dyke
beef hammer
hog
hod
hoe
hob
hon
bum bag
bent out of shape    
machine
on the ropes
hot
skoche
hop
last go trade    
grocery getter
cabbie
goober
schizophrenic    
go nuts
main man
fogy
puffy    
pump the brakes
turf
get (one's) ass in gear
in high cotton
be with    
sup    
turd
on the level
eejit    
nympho
walking hiv
baggage
101    
bag fries    
sparklefuck
irl    
murse
gaslight
vart
kill a kitten    
thingamabober
bug-eyed
spend a penny
kandi    
handcuff
crack on    
webisode
get lost
give a shit
loal    
lose (one's) marbles    
take it
bum off
fit
ass out
your mom    
fix
get it on
fib
fig
tallywacker    
shardvark
drop the bomb
foolio
eighty-six
throw down    
afk    
wassup    
ruby shower
beaut
out of the loop
catch u next tuesday
cock love
swamp rat
tweep    
cotton on
snot slingin' drunk
get (one's) grown man on
niggerfaggot
wtmi
debug
volcano
dumpy
gumshoe
f4m
no dice
snip, the
slap and tickle
negative nelly
spider
scheisse
crick
pissa
fortnight
private eye    
peel out
greased lightning
glory hole    
whip
rv
like whoa
rp
see ya
blow this popsicle stand
snoochie
smo
l33t
speed freak
no big deal
in the hot seat
bogosity
smd
dsb
frenchie
hell to the no    
christian side hug    
itrw    
cream of some young guy    
sword fight    
pound on
dine and dash
chiquita    
grapes
go all the way
smoke a bowl
ds9
kiwi    
atl
lit up
l337
yippee    
mosey    
if'n
bimble
d&b
minge
wass
goggle
tango foxtrot
wash
tryina    
cunt punt    
plastic
mingy
whosawhatsit    
snitch    
slam it
srs bzns    
youse
skeet skeet
pillow case
shark week    
up-down
horny    
paint the walls
critter
central booking
cushiony
thick as thieves
ridorkulous
giggle stick    
splendiferous
snooty
hit a lick
beanie
shitass
ttbomk    
ammo    
crawl
white
this bitch
grunty
show off
biffy
tree
scurred
cross swords
faff    
tres
sugar daddy    
curly fries
t-giving    
napalm
runner
ka-ching
kela
working stiff
number two
bogan
disco stick    
corny
liquid laugh
golden shower
okie
trots, the    
avatard    
poop and scoop
greenback
blow up (one's) spot
meshuga
pissed    
doin
butterhead
ride shotgun
freeper
gallagher
shake hands with the wife's best friend
dummy
bamboozle    
camp
on the take
psst
drill, the
poke the bear
worry wart
sugar booger
throw bows
potty mouth
hood beast
cane it
sound as a pound
411    
red herring
hugemongous    
hurt locker
toodleoo    
paper trail
bust
busk
bush
rich
off the heezy
rice
time sink    
fossil
giggy
get with
cutie pie
cushion
smoove    
silent but violent
hatch    
k-rad    
flodge
groupie
posh
whistle britches
ruby murray
yippie
goomba
mula    
down in the dumps
damn to hell
hammed
biff    
kicks    
go to the bank
bleg
imho
unmentionables
over the shoulder boulder holder    
bleh
wtf    
deebo
moron
thin skin
ginger    
twankies
bod    
bust up    
sista
uncool    
teena marie
sweet loving
pile of pants
swallow (one's) kids
on the table    
debo
screwball
in a nutshell
stroll    
grass cutter
git    
ante up
meh
faboo
get under (one's) skin
garfunkel
wtg
sancho
ex    
team kill
accident
veep
smarty    
sled    
blimpie
monkey spank
fudge    
hold down
twitard
schmooze
sexcellent
skurred
danky
bunkie
shlock
kevorka
blonde
jack shit
poseebs
rock up    
goat roper
chucker
irish handcuffs
old chap
chrome
quids in
fro
kojak
fecking
biotch    
chiclets    
3rd wheel    
wip    
spiv
preash    
roflmao
joust
lift
nappy dugout
toboggan
gaff off
worked
limo    
rollock
monkey jump
tickle (one's) pickle
inhale    
kick to the curb
do a number on    
kiff
kife
doormat
balls of steel
trade last    
bummer days    
expat
flip a dick    
a over t
pop a chubby
one (one's self)
thingy
skosh
pb and j
credit
prego    
toaster
shipwrecked
honk
smoke (one's) pole
loc'd out
kahuna    
seppo
carpet muncher
paedo
ginch
plonker
compooter    
loonie    
goyim
get up with    
jb    
goat, the
shit talking    
tuna
haggard
off-the-shelf
taco butt
neato    
pie wagon
dead drunk
corporate
assful    
as balls
gigolo
booyah
take old one eye to the optometrist
waho
drop the kids off at the pool    
cartard
mother trucker
peeping tom
buck fifty
play the game    
hah
chong up
ham
duffer
throw under the bus
tronk
stubbies
hax
roast beef
bread box
easy
wake up and smell the coffee
minivan, the
grand    
lose touch
shit (one's) pants
commie    
pinch    
shizot
skho
bog roll    
poser
cruise    
power nap
eye candy    
wolf down    
spine
bizzounce    
sloth-cloth
yumbo
call it a day
creel
rosy lee
old
coinkydink
klepto
crown
take a duke    
roids    
wampum
doubting thomas
east jesus
flunkie
vato
like a banshee
fot
fop
spangled
bottom
hung up
gooch
bizo
polluted
catch some z's    
sotu
frum
pip pip
umm
mooch
take a powder    
pinched
fish
ate up    
scape
r-tard    
tar    
binder
piece    
pfft    
scab
catch later    
over the hill    
leg it    
snog    
junky    
cuppa    
pub grub    
gange    
in the cards
keep (one's) pecker up    
air hanky
mbm
sob
nut house
mosquito bites    
honeymoon
craft
crush on
sop
sos
daffy
sot
sow
wrap
cool down    
soz
little spoon
dirty sanchez
frazzled
sexeh    
big o, the    
altitude
brown eye
toke up
halla
middle of nowhere, the    
hothead
cop out
jank
fuckin' sex
g'day
luck of the draw
cheerio    
boozy    
embiggen
calcumalator
use (one's) words
squatchy
summer teeth
inside
beyatch
smasher
minute    
baldy    
as the crow flies    
drag ass
bangable
hydro    
butt trumpet
flotsam and jetsam
fanzine
eat (one) out of house and home
dealer
mansonite
leet
bum buddy
bawbag
floor
shaggadelic
kentucky waterfall
keep on keeping on
chop up
smell
lsd    
ermahgerd
film at 11    
sortie
geezer
dig in
snowpocalypse
manwhore    
blue balls    
waffle
fucking rights
jitterbug
meat wallet
crap factory
cough up    
bby    
time
b & e
sniffer
peacock
dolja
newbie
chowder head    
chain
stem    
finer than frog hair
freaked out    
main drag
bostin
skate
dime bag
spide
volly
grifter
vet
schwasted
gnarly    
pavement pizza
twerp    
crater
veg
lardo
hoochie    
pug fugly
coolio    
poor sport
tla    
macho
furkle
a little birdie told me    
schnoogins
rofl    
cut it
code red
two-way
rap session
crack the whip
yummy mummy    
southpaw
hook up with
miss me
wack, the
moola
hot and heavy
epic
knockin
tear
upchuck    
ollie
homebody
grote
geeze
belushi
play it cool    
hyped up
freeze balls
rch    
get down to brass tacks
droid
loo    
out of the closet
smashingly    
crissy    
catatonic
inside job
tool    
blow (one's) cover
graff    
giggidy
crackpot
pop a cap in (one's) ass
melt
grubered
hanger-on
have it
spiffylicious
mell
jesus christmas
poindexter
lazy dog
blunted
hellsa
elbow grease
nut paste
go full retard
ride the beef
twaddle    
dick shy
zoop zoop
schlort    
suicide lane    
chooched
hushzone
dusty
brain dump
smack down    
cronk
get bent
queue
timbuktu
fanboi    
jammie
poopsicle
yiff
love
bbw    
attention whore    
uniball
eager beaver
rattle (one's) dags    
get stuffed    
fake
dirt road
brewski    
on my dick
lion's share    
damn straight    
go to the dogs
band-aid
kevork    
step on a duck
nut up
gump    
protein shake
ho ho
merde
yes
doneski
skud
closet freak
blow ass
skux
spaced out
groutfiti    
pins    
munch on
lumberjack
splain
hit that
bake
five thousand
esky
graveyard dead
el cheapo
circle jerk    
tapped out
fappable
stolo
piss out of (one's) ass
stole
5 by 5    
mj    
buttered
hit bottom
acid rock
word hole    
crimson wave
hit skins
cut the crap
daty
no joke    
sticks, the
slush
foam at the mouth
spot
short man syndrome
stroppy
omlg    
pro-ana
filthy
cockamamie
stress
bbygrl
mangy
real soon now    
take (one's) breath away
sandbox
sofa king    
truck
sn
haterade
auger
put out    
tear it down
shit you not
swolled
shoot bunnies
gawd    
mouse over
tig old bitty    
drama queen
get busy
hack it
ghost load    
dingis
banged up
mattress dance
go down
booth babe    
jib
in (one's) bag
jabronie    
tuli
jizz monkey
follicly challenged
jim
for serious
wahmbulance    
bucket list    
jit
txt    
take the cake
jiz
no-brainer
limbo
apron
in (one's) eye
fuck all    
happy bunny
diff    
gragg
holidays, the    
in the slammer
dingleberry
sorted
g code
can    
chappie
shload
cut off    
brody
swamp donkey
dauncey
brown nose
on the hop
hockey puck    
boojee
yayness
quarter
grind (one's) gears    
kram
square
bi    
lose (one's) religion
fu    
no homo
wax ass
epizootics of the blowhole
poopie
bum chum
xippie
beached whale
dilligas
beauty
jippo
jacked up    
wackadoodle    
coby
salt up
cuckle
schmeckel
stick in the mud
snizzle
bumpf
hunker down
disrespect
snooker
sarky
mime
grandma
newsie
scarred
bite the hand that feeds
scoche
mad as a hatter    
pump full of lead    
gaff
punt
massive
scrog    
eat my shorts
make waves
dunny
tooter
rassclat
tongue in cheek
bumblefuck    
high ball
bezerker
mouth off
g-unit
spanish
ego trip
wolf bait
open
city
mr. right
hell, the
take a chill pill
rag    
get (one's) swerve on    
cutting edge
shit disturber
yanal    
meet and greet
tat up    
siberia
stuffed
bud factor
scooter trash
gristle missile
white elephant
slasher
bootlicker    
hockey hair
boomtown
ridiculous
script kiddie
rent-a-cop
boyfriend
cock of the walk
dickhead
pooty poo
scrumptious
bully    
beyotch    
manhood    
afaiui    
doctored
damned
hundo    
rocket science
on (one's) ass    
sam
sal
buy the farm
sag
saf
guzz
best be
sap
bushism
passion mark    
rezzy
guyet
sexy beast    
alias
middle leg
happy gap
hate on
capish
zoo
note
exsqueeze
take
bork    
telly    
egotude
gwop    
byow    
stoosh
take one for the team
pudussy
watering hole    
lawl
angsty
old man jenkins
cork it    
tt4n    
sheila    
blockhead
drive
spill
sorostitute    
factory air
axe
on the bottle    
head wind
clunge    
jism    
bone orchard
piss (one's self)
woosh
friction
fuq    
slumpbuster    
lml    
beak    
knock over    
mastah
slow
slop
slor
food coma    
geotourism
see red
date    
slog
wood shampoo
hockey
beer fart    
ugly    
jump ship    
nonce
air (one's) dirty laundry
beer goggles    
fubb
robotrip    
touch
knock up
cap    
hot chocolate
hooped
schtupp    
fubr
phatty
go to hell    
obeast
gum up    
yammer
prime
nah    
winner    
dirt weed    
and stuff    
fry    
roger
cramazing
how (one) living    
hotness
ton    
soused    
hmfic
pound the pavement
grilled cheesus
horked    
ride the hershey highway
corry
aieet
shawol
up
buckle bunny
gangster
anyways
bad rap
chawn
shelfware    
postdoc
for pete's sake
paper chaser
slizzard    
carbon copy
diddle
bootleg
chicadee    
teeny
dbi    
weekend warrior
get up on the wrong side of the bed
nickel bag
diddly
copper    
mope
get away with murder
fat dick    
grease monkey
jumper
skrilla    
cuum
footie
neezy
lollapalooza
quack
harsh (one's) mellow    
loaft
cats and dogs
suck up    
flipped
brute force
manc
all good    
mani
mank
beater    
go dutch
clam chowder
bff    
lez out
krunk
skeeter    
suspy
crew
coker
guch
chad
ride (one's) ass
west
gin up
gin mill
